gene_id	uniprot_accession	Gene.Ontology.IDs
g20544	A2AS55	GO:0005634; GO:0005737; GO:0006400
g20894	P53590	GO:0004776; GO:0005524; GO:0005525; GO:0005739; GO:0006099; GO:0006104; GO:0042709; GO:0046872
g20898	Q99LJ2	GO:0000151; GO:0003746; GO:0005737
g20899	D4GYG7	GO:0005886; GO:0016757; GO:0045232
g9735	B5DE93	GO:0004693; GO:0005524; GO:0006397; GO:0008353; GO:0008380; GO:0016607; GO:0019908; GO:0043405; GO:0045944; GO:0106310
g22979	Q29496	GO:0004497; GO:0005506; GO:0005789; GO:0008202; GO:0020037; GO:0050649; GO:0070330; GO:0070989
g22977	NA	NA
g22970	Q7KRS9	GO:0003714; GO:0005634; GO:0005694; GO:0005737; GO:0006325; GO:0007399; GO:0035064; GO:0046872; GO:0070577
g23779	Q5NU32	GO:0005739; GO:0005741; GO:0006584; GO:0008131; GO:0050660; GO:0052595; GO:0097621
g18231	Q8AVS8	GO:0005635; GO:0005789
g15642	NA	NA
g18233	Q9EQH1	GO:0005068; GO:0005547; GO:0005737; GO:0005886; GO:0007165; GO:0007229; GO:0008284; GO:0010634; GO:0016477; GO:0019903; GO:0019904; GO:0030316; GO:0032991; GO:0035556; GO:0043306; GO:0043325; GO:0043491; GO:0045121
g18232	Q9JLG8	GO:0004198; GO:0005737; GO:0006508; GO:0046872
g5286	Q1LWJ6	GO:0030027; GO:0030336; GO:0033058; GO:0051126
g5285	Q5RCS8	GO:0000221; GO:0005654; GO:0005813; GO:0005886; GO:0005929; GO:0030665; GO:0046961; GO:0060271; GO:0061512; GO:0097401; GO:0098793
g5281	NA	NA
g9782	O02695	GO:0004725; GO:0006629; GO:0007269; GO:0030667; GO:0030672; GO:0035773
g24155	NA	NA
g24151	Q96RW7	GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711
g592	O88419	GO:0001572; GO:0005794; GO:0005975; GO:0006486; GO:0006688; GO:0008378; GO:0008489; GO:0010706; GO:0021955; GO:0022010; GO:0032580; GO:0042551; GO:0046872; GO:0070085
g13317	P67963	GO:0000776; GO:0004674; GO:0005524; GO:0005737; GO:0005813; GO:0005819; GO:0006468; GO:0016055; GO:0016607; GO:0036064; GO:0045104; GO:0051301; GO:0090090; GO:0106310; GO:1900226
g2264	Q5ZK82	GO:0005793; GO:0005801; GO:0006506; GO:0006888; GO:0030145; GO:0033116; GO:0034235; GO:0062050; GO:0070971
g15418	P97798	GO:0001764; GO:0005654; GO:0005794; GO:0005886; GO:0006355; GO:0006879; GO:0007411; GO:0007520; GO:0009306; GO:0009986; GO:0016020; GO:0030426; GO:0030513; GO:0038023; GO:0039706; GO:0043025; GO:0044295; GO:0045296; GO:0048679; GO:0048681; GO:0050709; GO:0060586; GO:0070700; GO:0097708; GO:0098609; GO:0098797; GO:0098839; GO:0098978; GO:0099550
g12199	P08953	GO:0002225; GO:0002229; GO:0002347; GO:0002804; GO:0004888; GO:0004896; GO:0005769; GO:0005886; GO:0007155; GO:0007416; GO:0007507; GO:0007526; GO:0008063; GO:0009597; GO:0009611; GO:0009897; GO:0009950; GO:0009986; GO:0016201; GO:0019955; GO:0030308; GO:0032154; GO:0035208; GO:0035212; GO:0038023; GO:0040015; GO:0042802; GO:0045087; GO:0045944; GO:0046627; GO:0046790; GO:0050830; GO:0061760; GO:0061809; GO:0070976; GO:1902875
g12197	P24802	GO:0005506; GO:0005783; GO:0008475; GO:0017185; GO:0030867; GO:0031418
g12190	P56399	GO:0004843; GO:0005634; GO:0005829; GO:0006508; GO:0008270; GO:0016579; GO:0032436; GO:0043130; GO:0098793; GO:0140251; GO:2000059
g1776	Q9C0D3	GO:0005737; GO:0006515; GO:0031462; GO:0032436
g6205	NA	NA
g6202	O43900	GO:0005739; GO:0005886; GO:0008270; GO:0030030
g6201	O35115	GO:0000122; GO:0001649; GO:0003712; GO:0003714; GO:0005634; GO:0006357; GO:0008134; GO:0009725; GO:0030018; GO:0031430; GO:0042802; GO:0043066; GO:0043425; GO:0046872; GO:0055014; GO:0055015; GO:0060347; GO:0070885
g23535	NA	NA
g23537	Q9ESK9	GO:0000045; GO:0000407; GO:0000421; GO:0000422; GO:0001889; GO:0001934; GO:0005634; GO:0005737; GO:0005764; GO:0005829; GO:0006914; GO:0006915; GO:0007507; GO:0008285; GO:0010508; GO:0019901; GO:0030242; GO:0031965; GO:0034045; GO:0034517; GO:0034727; GO:0043066; GO:0045087; GO:0045793; GO:0046330; GO:0051607; GO:0060090; GO:0061709; GO:0061723; GO:0097191; GO:1903059; GO:1990316; GO:2001237
g8345	Q6DFB8	GO:0000791; GO:0005634; GO:0005737; GO:0006401; GO:0055087
g8695	NA	NA
g21262	Q2QLC0	GO:0002116; GO:0004714; GO:0005524; GO:0007169; GO:0016020; GO:0017154; GO:0050918; GO:0071526; GO:1902287; GO:2001028
g2060	O14841	GO:0005524; GO:0005829; GO:0006749; GO:0017168; GO:0042802
g2437	NA	NA
g8842	A7X4K1	GO:0004867; GO:0005576; GO:0005615; GO:0042742; GO:0044278
g12356	NA	NA
g12357	NA	NA
g12350	P21912	GO:0005654; GO:0005739; GO:0005743; GO:0005749; GO:0005759; GO:0005886; GO:0006099; GO:0006121; GO:0008177; GO:0009055; GO:0009060; GO:0022904; GO:0031966; GO:0042776; GO:0045273; GO:0046872; GO:0048039; GO:0051537; GO:0051538; GO:0051539
g14211	Q7ZX53	GO:0006811; GO:0016020; GO:0022857
g3006	Q4R8E0	GO:0004694; GO:0005524; GO:0005737; GO:0017148; GO:0106310; GO:0140467; GO:0140468; GO:1901526
g4058	B0DOB5	GO:0003779; GO:0005737; GO:0005856; GO:0016055; GO:0030036; GO:0031267; GO:0042995
g5098	Q86VK4	GO:0000978; GO:0003700; GO:0003712; GO:0005634; GO:0005694; GO:0006357; GO:0010629; GO:0045944; GO:0046872; GO:1990837
g5097	Q98KK0	GO:0005506; GO:0005737; GO:0008336; GO:0045329
g5092	Q7T2B0	GO:0005886; GO:0008292; GO:0015220; GO:0015297; GO:0015871; GO:0016324; GO:0030307; GO:0030974; GO:0032475; GO:0035675; GO:0048840; GO:0061526; GO:0090422
g11193	P16331	GO:0004505; GO:0005506; GO:0006558; GO:0006559; GO:0006571; GO:0016597; GO:0019293; GO:0042802
g10240	Q9JLC8	GO:0005737; GO:0030544; GO:0050750
g10241	NA	NA
g10242	Q9JLC8	GO:0005737; GO:0030544; GO:0050750
g10243	Q9JLC8	GO:0005737; GO:0030544; GO:0050750
g2846	Q8R0A7	
g2841	Q16822	GO:0004611; GO:0004613; GO:0005525; GO:0005739; GO:0005759; GO:0006094; GO:0006107; GO:0006116; GO:0019543; GO:0030145; GO:0032024; GO:0032496; GO:0032869; GO:0042594; GO:0046327; GO:0070365; GO:0071333; GO:0071356; GO:0071549
g2842	A0A4X1UM84	GO:0000287; GO:0004613; GO:0005525; GO:0005783; GO:0005829; GO:0006094; GO:0006107; GO:0009617; GO:0018105; GO:0019543; GO:0030145; GO:0031406; GO:0032869; GO:0042594; GO:0043382; GO:0045944; GO:0046166; GO:0046327; GO:0046889; GO:0046890; GO:0051365; GO:0070365; GO:0071333; GO:0071549; GO:0072350; GO:0106264
g2843	O13016	GO:0004725; GO:0004726; GO:0005737; GO:0005769; GO:0005783; GO:0005789; GO:0009966; GO:0019901; GO:0030036; GO:0030100; GO:0030968; GO:0035335; GO:0070373; GO:1903898
g15990	NA	NA
g15997	Q6ZRR5	GO:0016020
g15996	Q3TYE7	GO:0016020
g1579	Q5T447	GO:0004842; GO:0016567; GO:0019905; GO:0043161; GO:0048471
g7939	Q645M6	GO:0001916; GO:0002821; GO:0005123; GO:0006915; GO:0008625; GO:0031265; GO:0032729; GO:0033077; GO:0042104; GO:0043029; GO:0045087; GO:0045089; GO:0048535; GO:0048536; GO:0048538; GO:0070236; GO:0089720; GO:0097191; GO:0097342; GO:2000454
g7937	Q9Z321	GO:0000793; GO:0003677; GO:0003917; GO:0005634; GO:0006265; GO:0006281; GO:0006310; GO:0007059; GO:0140225
g13296	P50540	GO:0000122; GO:0000978; GO:0000981; GO:0001825; GO:0005634; GO:0006355; GO:0006357; GO:0046983
g13297	I6YEE1	GO:0008770; GO:0046872
g418	NA	NA
g13125	Q8BJ03	GO:0005654; GO:0005739; GO:0005743; GO:0005759; GO:0006784; GO:0008535; GO:0016627; GO:0016653; GO:0030234; GO:0046872; GO:0070069
g13127	Q9UGT4	GO:0005615; GO:0005886; GO:0051782; GO:0070062; GO:1902807
g13120	P96202	GO:0004312; GO:0004315; GO:0005737; GO:0005829; GO:0005886; GO:0006633; GO:0016491; GO:0031177; GO:0034081; GO:0071766; GO:0071770; GO:0097040; GO:0097041
g13121	Q869X2	GO:0004312; GO:0004315; GO:0006633; GO:0016491; GO:0030587
g13122	A5ABG0	GO:0004312; GO:0006633; GO:0016491; GO:0016874; GO:0019748; GO:0031177; GO:0044550
g13123	P9WQE3	GO:0004312; GO:0004315; GO:0005737; GO:0005886; GO:0006633; GO:0016491; GO:0031177; GO:0034081; GO:0071770; GO:0097040; GO:0097041
g16957	O75832	GO:0000122; GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0005886; GO:0006357; GO:0006915; GO:0007253; GO:0008092; GO:0008134; GO:0030307; GO:0030674; GO:0031398; GO:0032088; GO:0032436; GO:0043005; GO:0043066; GO:0043409; GO:0043518; GO:0044325; GO:0045111; GO:0045737; GO:0061629; GO:0070682; GO:0072659; GO:0090201
g16954	Q3UHC0	GO:0000932; GO:0001706; GO:0003723; GO:0005654; GO:0005829; GO:0006417; GO:0007179; GO:0007492; GO:0035162; GO:0035195; GO:0048568; GO:0060213; GO:0060430; GO:0060964; GO:1900153
g16955	NA	NA
g16952	P80147	GO:0003867; GO:0005739; GO:0005759; GO:0005829; GO:0009450; GO:0030170; GO:0032144; GO:0032145; GO:0034386; GO:0042802; GO:0042803; GO:0046872; GO:0047298; GO:0048148; GO:0051537
g16951	P80404	GO:0001666; GO:0005739; GO:0005759; GO:0007620; GO:0007626; GO:0009410; GO:0009448; GO:0009449; GO:0009450; GO:0010039; GO:0014053; GO:0021549; GO:0030170; GO:0031652; GO:0032024; GO:0032144; GO:0032145; GO:0033602; GO:0034386; GO:0035094; GO:0035640; GO:0042802; GO:0045471; GO:0045776; GO:0045964; GO:0046872; GO:0047298; GO:0048148; GO:0051536; GO:0070474; GO:0097151; GO:1902722; GO:1904450
g14551	Q9ESQ4	GO:0001607; GO:0002023; GO:0005229; GO:0005525; GO:0005886; GO:0007200; GO:0007218; GO:0007625; GO:0008188; GO:0016020; GO:0042924; GO:0048265; GO:0050482; GO:0051930
g14554	Q10751	GO:0001822; GO:0002003; GO:0003081; GO:0003084; GO:0004180; GO:0004222; GO:0005737; GO:0005886; GO:0008217; GO:0008237; GO:0008241; GO:0008270; GO:0008283; GO:0010814; GO:0010815; GO:0016020; GO:0031404; GO:0042445; GO:0042447; GO:0048167; GO:0060319; GO:0070573
g14557	Q5RBZ6	GO:0000139; GO:0007612; GO:0007616; GO:0008146; GO:0008209; GO:0008210; GO:0016051; GO:0030166
g19604	NA	NA
g19603	O88956	GO:0000810; GO:0005886; GO:0005901; GO:0006644; GO:0006670; GO:0006672; GO:0007165; GO:0008195; GO:0016020; GO:0016324; GO:0042392; GO:0045121; GO:0046839; GO:0052642; GO:0106235
g19602	NA	NA
g19601	Q6DDG2	GO:0016020
g21813	Q5XHC1	GO:0005737; GO:0005813
g21812	Q63HQ0	GO:0001920; GO:0005768; GO:0005769; GO:0005770; GO:0005794; GO:0005829; GO:0015031; GO:0019894; GO:0030133; GO:0034315; GO:0034446; GO:0035650; GO:0048203; GO:1900025; GO:2000146
g10002	Q9D1J3	GO:0000122; GO:0000346; GO:0003677; GO:0003682; GO:0003723; GO:0005634; GO:0006406; GO:0006417; GO:0016607; GO:0016973; GO:0036464
g9309	P24049	GO:0002181; GO:0003735; GO:0005737; GO:0022625; GO:0022626; GO:0031672; GO:0034198; GO:0045202; GO:0070180; GO:1900087; GO:1990928
g9303	Q9UMX0	GO:0000045; GO:0000502; GO:0005654; GO:0005737; GO:0005776; GO:0005783; GO:0005829; GO:0005886; GO:0006511; GO:0016235; GO:0016236; GO:0016241; GO:0019900; GO:0031396; GO:0031398; GO:0031410; GO:0031593; GO:0032991; GO:0034140; GO:0034976; GO:0035973; GO:0036503; GO:0042802; GO:0048471; GO:0071456; GO:0097352; GO:1901340; GO:1902175; GO:1904294
g9304	Q6PB70	GO:0005254; GO:0005886; GO:1902476
g21388	B9FAF3	GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017
g21381	Q8R4U0	GO:0005041; GO:0005044; GO:0005509; GO:0005540; GO:0005829; GO:0006897; GO:0006898; GO:0007155; GO:0009897; GO:0030169; GO:0030214; GO:0038024; GO:0050830
g21382	Q8WWQ8	GO:0001525; GO:0005041; GO:0005044; GO:0005509; GO:0005540; GO:0005829; GO:0005886; GO:0006897; GO:0006898; GO:0007155; GO:0009897; GO:0015035; GO:0030169; GO:0030214; GO:0030666; GO:0042742; GO:0050830
g21387	F4JEQ2	GO:0004674; GO:0005524; GO:0005777; GO:0005886; GO:0006952; GO:0106310
g20387	P12716	GO:0005524; GO:0005737; GO:0005856; GO:0016787
g8551	P62976	GO:0005634; GO:0005737; GO:0016567; GO:0019941; GO:0031386; GO:0031625
g8552	P0CG50	GO:0002020; GO:0005654; GO:0005741; GO:0005829; GO:0016567; GO:0019941; GO:0031386; GO:0031625; GO:0043209
g8553	P0CG60	GO:0005634; GO:0005741
g21033	Q6UXM1	GO:0005615; GO:0005886; GO:0030659; GO:0031012; GO:0032474
g13721	Q27968	GO:0004860; GO:0005783; GO:0005829; GO:0006986; GO:0019901; GO:0034975; GO:0036494; GO:0051087; GO:0051787; GO:0070417; GO:1903912
g20927	Q9D8N6	GO:0000122; GO:0017053; GO:0031523
g20924	Q5R4J5	GO:0001786; GO:0005509; GO:0005544; GO:0005886; GO:0014059; GO:0019905; GO:0030154; GO:0030276; GO:0030424; GO:0030672; GO:0031045; GO:0042584; GO:0048488; GO:0048791; GO:0071277; GO:1903235
g20925	Q6MG82	GO:0006468; GO:0007611; GO:0008104; GO:0016020; GO:0030545; GO:0030672; GO:0034394; GO:0045211; GO:0050808; GO:0060291; GO:0060292; GO:0098839; GO:0098978; GO:2000311
g20922	Q5E985	GO:0000302; GO:0004415; GO:0005615; GO:0005737; GO:0005764; GO:0005975; GO:0006954; GO:0009615; GO:0010634; GO:0030212; GO:0030213; GO:0030214; GO:0030307; GO:0030308; GO:0031410; GO:0036117; GO:0036120; GO:0045766; GO:0045785; GO:0045927; GO:0046677; GO:0050501; GO:0050679; GO:0051216; GO:0071347; GO:0071467; GO:0071493; GO:1900087; GO:1900106
g15378	Q5T2R2	GO:0004659; GO:0005759; GO:0006744; GO:0008299; GO:0032478; GO:0046872; GO:0046982; GO:0052923; GO:0097269; GO:1990234
g15372	NA	NA
g15377	P26039	GO:0001726; GO:0001786; GO:0005178; GO:0005200; GO:0005737; GO:0005856; GO:0005886; GO:0005912; GO:0005925; GO:0007044; GO:0007229; GO:0009986; GO:0017166; GO:0030274; GO:0030866; GO:0032587; GO:0033622; GO:0035091; GO:0043622; GO:0051015; GO:0098609
g15376	P54939	GO:0001726; GO:0005178; GO:0005200; GO:0005829; GO:0005856; GO:0005886; GO:0005925; GO:0009986; GO:0032587; GO:0051015; GO:0098609
g15375	Q9Y490	GO:0001726; GO:0001786; GO:0005178; GO:0005200; GO:0005576; GO:0005829; GO:0005856; GO:0005886; GO:0005912; GO:0005925; GO:0007043; GO:0007044; GO:0007229; GO:0009986; GO:0017166; GO:0030274; GO:0030866; GO:0032587; GO:0033622; GO:0035091; GO:0045296; GO:0051015; GO:0051893; GO:0070062; GO:0070527; GO:0098609
g2565	Q924T7	GO:0000209; GO:0004842; GO:0005829; GO:0008270; GO:0009898; GO:0016567; GO:0023035; GO:0031625; GO:0033209; GO:0035631; GO:0036435; GO:0042742; GO:0042802; GO:0043123; GO:0043130; GO:0050852; GO:0051092; GO:0060546; GO:0061630; GO:0070530; GO:0071797; GO:0097039; GO:1904417; GO:1990450
g2563	Q96EP0	GO:0000209; GO:0004842; GO:0005829; GO:0008270; GO:0009898; GO:0023035; GO:0031625; GO:0035631; GO:0036435; GO:0042742; GO:0042802; GO:0043123; GO:0043130; GO:0050852; GO:0051092; GO:0060546; GO:0061630; GO:0070530; GO:0071797; GO:0097039; GO:1903955; GO:1904417; GO:1990450
g13389	O04996	GO:0004784; GO:0005507; GO:0005737
g4247	P61023	GO:0000139; GO:0001578; GO:0001933; GO:0004860; GO:0005509; GO:0005634; GO:0005737; GO:0005783; GO:0005793; GO:0005886; GO:0006469; GO:0006611; GO:0006903; GO:0006906; GO:0008017; GO:0010923; GO:0015385; GO:0015630; GO:0019900; GO:0022406; GO:0030133; GO:0031122; GO:0031397; GO:0031953; GO:0032088; GO:0032417; GO:0042308; GO:0045121; GO:0048306; GO:0050821; GO:0051222; GO:0051259; GO:0051453; GO:0060050; GO:0061024; GO:0061025; GO:0070885; GO:0071073; GO:0071468; GO:0090314; GO:1990351
g11018	F1P4W9	GO:0001669; GO:0002080; GO:0005737; GO:0005886; GO:0007288; GO:0030317; GO:0036126; GO:0097225
g5115	Q61321	GO:0000978; GO:0000981; GO:0001228; GO:0003677; GO:0003700; GO:0005634; GO:0005667; GO:0005737; GO:0006357; GO:0007519; GO:0008582; GO:0008584; GO:0010468; GO:0030238; GO:0030910; GO:0032880; GO:0034504; GO:0042472; GO:0043066; GO:0043524; GO:0043565; GO:0043586; GO:0045214; GO:0045892; GO:0045893; GO:0045944; GO:0046661; GO:0048538; GO:0048699; GO:0048701; GO:0048704; GO:0050678; GO:0051451; GO:0060037; GO:0061055; GO:0061197; GO:0061551; GO:0072075; GO:0072095; GO:0072107; GO:0090190; GO:0098528; GO:1902725
g6496	E2RP94	GO:0005085; GO:0005737; GO:0005794; GO:0005795; GO:0005856; GO:0005911; GO:0008360; GO:0035556; GO:0045202; GO:0060271; GO:0098793
g6492	Q6FHJ7	GO:0002092; GO:0005615; GO:0005634; GO:0005737; GO:0008285; GO:0009725; GO:0009986; GO:0010628; GO:0017147; GO:0030154; GO:0030178; GO:0030510; GO:0035567; GO:0043065; GO:0043433; GO:0045606; GO:0055062; GO:0060070; GO:0060349; GO:0090090; GO:0090263; GO:1902174; GO:2000051; GO:2000119
g18828	Q3T0P6	GO:0004618; GO:0005524; GO:0005615; GO:0005829; GO:0006094; GO:0006096; GO:0016525; GO:0030855; GO:0031639; GO:0043531; GO:0045121; GO:0047134; GO:0061621; GO:0071456
g15814	P11475	GO:0000785; GO:0000793; GO:0000978; GO:0000981; GO:0000987; GO:0000993; GO:0001228; GO:0001701; GO:0001831; GO:0001834; GO:0001892; GO:0003700; GO:0003707; GO:0004879; GO:0005496; GO:0005634; GO:0005737; GO:0006355; GO:0006357; GO:0008270; GO:0008283; GO:0017145; GO:0019827; GO:0030518; GO:0032039; GO:0034056; GO:0035019; GO:0043565; GO:0043697; GO:0045494; GO:0045725; GO:0045821; GO:0045892; GO:0045893; GO:0045944; GO:0048839; GO:0061629; GO:1902459; GO:1990837; GO:2000035; GO:2000737
g13659	Q5XJY4	GO:0004175; GO:0004252; GO:0005634; GO:0005739; GO:0005743; GO:0006465; GO:0006508; GO:0008053; GO:0016485; GO:0030162; GO:0033619; GO:0090201; GO:1901524; GO:1903214; GO:2000377; GO:2001243
g13655	Q08BL9	GO:0005737; GO:0005912; GO:0007507; GO:0030057; GO:0030424; GO:0043204
g19061	Q8BH10	GO:0002115; GO:0005886; GO:0015279; GO:0016020; GO:0030426
g14855	Q9W6C5	GO:0000281; GO:0005813; GO:0005829; GO:0005923; GO:0015031; GO:0042470; GO:0070062; GO:0071985; GO:0090543
g16563	NA	NA
g19390	NA	NA
g15034	Q0D4Z6	GO:0005737; GO:0006952; GO:0009555; GO:0009851; GO:0010279; GO:0016208; GO:0016881; GO:0140964; GO:1900424
g15036	NA	NA
g15038	Q5NVI9	GO:0001671; GO:0005524; GO:0005634; GO:0005739; GO:0005783; GO:0005829; GO:0009408; GO:0016020; GO:0030544; GO:0042026; GO:0043065; GO:0043066; GO:0043508; GO:0046872; GO:0048471; GO:0051082; GO:0051087; GO:0051223; GO:0070585
g19836	Q99PV0	GO:0000244; GO:0000398; GO:0005634; GO:0005682; GO:0008237; GO:0016607; GO:0017070; GO:0030532; GO:0030619; GO:0030620; GO:0030623; GO:0046540; GO:0070530; GO:0071005; GO:0071006; GO:0071007; GO:0071013; GO:0071222; GO:0071356; GO:0097157
g19837	Q3MHL7	GO:0005524; GO:0005832; GO:0006457; GO:0016887; GO:0051082; GO:0140662
g19832	P52301	GO:0000055; GO:0000056; GO:0000070; GO:0000287; GO:0001654; GO:0003924; GO:0005525; GO:0005634; GO:0005635; GO:0005829; GO:0006606; GO:0046039; GO:0061015
g21631	Q3UPL0	GO:0005198; GO:0005768; GO:0005789; GO:0005829; GO:0007029; GO:0015031; GO:0030120; GO:0030127; GO:0030134; GO:0048306; GO:0048471; GO:0051592; GO:0070971; GO:0090110
g21630	O70404	GO:0005484; GO:0005739; GO:0005764; GO:0005765; GO:0005769; GO:0005829; GO:0005886; GO:0006906; GO:0009986; GO:0015031; GO:0016192; GO:0016323; GO:0019905; GO:0030100; GO:0030141; GO:0030496; GO:0031201; GO:0031901; GO:0031902; GO:0035493; GO:0042588; GO:0042589; GO:0045178; GO:0045335; GO:0046718; GO:0051607; GO:0051649; GO:0055037; GO:0061025; GO:0065003; GO:0070254; GO:0070625; GO:0071346; GO:0097352; GO:0098594; GO:1902278; GO:1990794
g21632	Q3UPL0	GO:0005198; GO:0005768; GO:0005789; GO:0005829; GO:0007029; GO:0015031; GO:0030120; GO:0030127; GO:0030134; GO:0048306; GO:0048471; GO:0051592; GO:0070971; GO:0090110
g11258	E9QAM5	GO:0003677; GO:0003723; GO:0003724; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0008859; GO:0016887; GO:0035194; GO:0043186; GO:0046872
g11252	NA	NA
g11257	P42694	GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0005829; GO:0016020; GO:0016787; GO:0035194; GO:0043186; GO:0046872
g21995	O73853	GO:0004508; GO:0005506; GO:0006694; GO:0016020; GO:0016829; GO:0020037
g10617	P43354	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001666; GO:0001764; GO:0001975; GO:0003677; GO:0004879; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0006351; GO:0006357; GO:0006366; GO:0008013; GO:0008270; GO:0008344; GO:0009791; GO:0016607; GO:0021952; GO:0021953; GO:0021986; GO:0032991; GO:0034599; GO:0035259; GO:0042053; GO:0042416; GO:0042551; GO:0043524; GO:0043576; GO:0045444; GO:0045944; GO:0046965; GO:0046982; GO:0051402; GO:0051866; GO:0060070; GO:0071376; GO:0071542; GO:1904948; GO:1990837; GO:2001234
g10616	P60815	GO:0001701; GO:0002040; GO:0005789; GO:0005886; GO:0007420; GO:0010467; GO:0015220; GO:0015232; GO:0015871; GO:0016020; GO:0020037; GO:0031966; GO:0034228; GO:0097037; GO:0097102; GO:0150104
g10615	Q19AZ8	GO:0004252; GO:0005509; GO:0005615; GO:0006508; GO:0006953; GO:0030168; GO:0030194; GO:0062023
g10619	P43304	GO:0004368; GO:0005509; GO:0005739; GO:0005743; GO:0006072; GO:0006127; GO:0019563
g17964	Q90744	GO:0004557; GO:0005737; GO:0005764; GO:0006629; GO:0008456; GO:0009311; GO:0016139
g661	P27117	GO:0004586; GO:0005737; GO:0033387; GO:0042176; GO:0042803
g660	NA	NA
g1923	NA	NA
g1920	Q9Y263	GO:0005634; GO:0005737; GO:0006644; GO:0006693; GO:0006954; GO:0007165; GO:0007399; GO:0010992; GO:0016005; GO:0016236; GO:0032430; GO:0043130; GO:0043161; GO:0043162; GO:0045202; GO:0070062; GO:0071222; GO:1900045; GO:1903423; GO:1903861; GO:2001224
g1927	B2GV87	GO:0004725; GO:0005634; GO:0005737; GO:0005886; GO:0007185; GO:0033003; GO:0042802; GO:0046627
g1924	Q5R9E5	GO:0005654; GO:0005730; GO:0006915
g1925	Q6NRK1	GO:0005737; GO:0005874; GO:0005912; GO:0007098; GO:0007155; GO:0034451; GO:0051011
g20228	Q58A42	GO:0016020
g20227	Q58A42	GO:0016020
g20226	Q58A42	GO:0016020
g2602	Q96EV8	GO:0001822; GO:0001934; GO:0001956; GO:0002092; GO:0005634; GO:0005737; GO:0005789; GO:0005829; GO:0005886; GO:0007596; GO:0007613; GO:0008089; GO:0010008; GO:0010628; GO:0014059; GO:0014069; GO:0015630; GO:0016528; GO:0030036; GO:0030424; GO:0030426; GO:0030496; GO:0030672; GO:0031083; GO:0031175; GO:0032438; GO:0033162; GO:0042383; GO:0043005; GO:0043025; GO:0043197; GO:0045211; GO:0048490; GO:0048812; GO:0048813; GO:0060041; GO:0060155; GO:0060159; GO:0060271; GO:0061002; GO:0061646; GO:0071806; GO:0098685; GO:0098686; GO:0098978; GO:1904115; GO:2000300
g9651	Q99LE6	GO:0005524; GO:0005739; GO:0016887
g16764	P97259	GO:0000139; GO:0004864; GO:0005576; GO:0018279; GO:0030144; GO:0030145; GO:0030335; GO:1904894
g16767	O43299	GO:0000724; GO:0005634; GO:0005654; GO:0005737; GO:0005770; GO:0015031; GO:0016192; GO:0016197; GO:0016607; GO:0030119; GO:0044599
g16766	NA	NA
g21178	Q4V8X0	GO:0004930; GO:0005886; GO:0007186
g7439	Q99946	GO:0006468; GO:0007611; GO:0016020; GO:0030545; GO:0030672; GO:0034394; GO:0042802; GO:0050808; GO:0060291; GO:0060292; GO:0098839; GO:2000311
g15236	Q3U269	
g15235	Q9WUU9	GO:0003676; GO:0003682; GO:0004402; GO:0005634; GO:0005654; GO:0005694; GO:0005737; GO:0005829; GO:0006406; GO:0010484; GO:0015031; GO:0016446; GO:0016973; GO:0031965; GO:0034728; GO:0042393; GO:0044615; GO:0070390
g14725	Q5ZL42	GO:0005737; GO:0006446
g4165	Q86YW7	GO:0002155; GO:0005179; GO:0005576; GO:0005615; GO:0005737; GO:0007186; GO:0007189; GO:0031531; GO:0046982
g4163	A0A0F7Z3J2	GO:0005179; GO:0005615; GO:0007166; GO:0051427; GO:0090729
g4162	A0A0F7Z3J2	GO:0005179; GO:0005615; GO:0007166; GO:0051427; GO:0090729
g14183	O15550	GO:0000978; GO:0005634; GO:0005654; GO:0006338; GO:0010468; GO:0031490; GO:0032452; GO:0035097; GO:0044666; GO:0046872; GO:0071558
g1267	Q28FE5	GO:0003677; GO:0003723; GO:0005634; GO:0006351; GO:0045893
g1268	Q9PTS2	GO:0004853; GO:0005829; GO:0006778; GO:0006782; GO:0006783; GO:0006787
g1480	P53395	GO:0005737; GO:0005739; GO:0005829; GO:0009083; GO:0015630; GO:0016407; GO:0031405; GO:0031625; GO:0042645; GO:0043754; GO:0047101; GO:1902494
g18980	Q9JJX6	GO:0001614; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005507; GO:0005524; GO:0005765; GO:0005886; GO:0006809; GO:0006816; GO:0008270; GO:0019228; GO:0019233; GO:0030424; GO:0030425; GO:0035381; GO:0042311; GO:0042802; GO:0043025; GO:0043195; GO:0043197; GO:0044297; GO:0045177; GO:0048266; GO:0048678; GO:0050920; GO:0050975; GO:0051897; GO:0060079; GO:0070588; GO:0071294; GO:0071318; GO:0098662; GO:0099094; GO:0099604; GO:1904141
